name;source;description;special_remark;category_1;category_2
ATR NG, 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen\Transformation
Battery BoP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery cell, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery cell, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery cell, NMC-111;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery cell, NMC-622;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery management system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery packaging;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery retention;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery tray;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Bimetallic busbars and washers;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Biodiesel from algae;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel, from algae, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel from cooking oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel, from used cooking oil, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel from palm oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel, from palm oil, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel from rapeseed oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
Biodiesel, from rapeseed oil, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Transformation
biogas upgrading - sewage sludge - amine scrubbing - best;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;;;material;Fuels\Biofuels\Methane\Transformation
biomethane from biogas upgrading - biowaste - amine scrubbing;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;;;material;Fuels\Biofuels\Methane\Transformation
Biomethane, gaseous, 5 bar, from sewage sludge fermentation, at fuelling station;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;;;material;Fuels\Biofuels\Methane\Transformation
Bipolar plate;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Buffer tank;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
carbon dioxide capture system;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
carbon dioxide, captured from atmosphere;Terlouw et al. 2021 (in review);Carbon dioxide captured by direct air capture (DAC). The DAC unit is located less than a kilometer away from the synthetic fuel plant. The CO2 is pressurized at 25 bar.;The process uses waste heat as a source of heat. The switch to a dedicated source of heat (e.g., natural gas-based) could significnatly change the results.;material;Fuels\Synthetic\Carbon capture and storage\Transformation
Carbon fibre, from acrylonitrile;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;Manufacture of carbon fibre from acrylonitrile. Adapted from the LCA of aircrafts study from Cox et al. 2018.;The data quality is moderate to poor while the influence on end results can be significant.;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Carbon monoxide, from RWGS;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Production of carbon monoxide from carbon dioxide in a reverse water gas shift reactor.;;material;Fuels\Synthetic\Carbon capture and storage\Transformation
Catalyst layer;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Cathode;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Cathode current collector, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Cathode current collector, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Cathode paste, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;Paste for cathode for lithium ion-based ferrophosphate battery.;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Cathode paste, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Cell container;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Clamps and fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;energy;Electricity by fuel\Hydrogen\Carbon capture and storage\Transformation\Infrastructure
Coating and curing, general manufacturing;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Cobalt sulfate;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
container, with pipes and fittings, for diaphragm compressor;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
control panel, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
Cooling system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
cooling unit, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
Crude Palm Oil extraction from FFBs {RER} |oil mill|;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Feedstock
Crude vegetable oil | oil mill: extraction of vegetable oil from rapeseed | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.;;material;Fuels\Biofuels\Biodiesel\Feedstock
diaphragm compressor module, high pressure;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
diaphragms, for diaphragm compressor;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Diesel production, synthetic, Fischer Tropsch process, economic allocation;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Economic allocation between 3 other co-products. Allocation key for this co-product: 16%. Post corrected to preserve carbon balance.;;material;Fuels\Synthetic\Transformation
Diesel production, synthetic, Fischer Tropsch process, energy allocation;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Energy-based allocation between 3 other co-products. Allocation key for this co-product: 37%. Post corrected to preserve carbon balance.;;material;Fuels\Synthetic\Transformation
diesel production, synthetic, from electrolysis-based hydrogen, economic allocation, at fuelling station;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Economic allocation between 3 other co-products. Allocation key for this co-product: 16%. Post corrected to preserve carbon balance.;;material;Fuels\Synthetic\Transformation
diesel production, synthetic, from electrolysis-based hydrogen, energy allocation, at fuelling station;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Economic allocation between 3 other co-products. Allocation key for this co-product: 16%. Post corrected to preserve carbon balance.;;material;Fuels\Synthetic\Transformation
Disposal, hydrogen fuelling station;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
drilling, deep borehole/m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;Drilling of borehole for CO2 storage.;;energy;Electricity by fuel\Gas\Carbon capture and storage\Transformation\Infrastructure
electricity production, at BIGCC power plant 450MW, pre, pipeline 200km, storage 1000m;Volkart et al., 2013, doi: 10.1016/j.ijggc.2013.03.003;Electricity produced from an integrated biomass gasification combined cycle power plant, with carbon capture and storage.;;energy;Electricity by fuel\Biomass\Carbon capture and storage
electricity production, at power plant/biogas, post, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;energy;Electricity by fuel\Gas\Carbon capture and storage\Transformation
electricity production, at wood burning power plant 20 MW, truck 25km, post, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;energy;Electricity by fuel\Biomass\Carbon capture and storage
electricity production, at power plant/natural gas, post, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;energy;Electricity by fuel\Biomass\Carbon capture and storage
electricity production, at power plant/hard coal, post, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;;;energy;Electricity by fuel\Biomass\Carbon capture and storage
Electrolyte;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Electrolyte, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Electrolyte, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
End plate;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
End-busbar aluminum;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
End-busbar copper;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Essential BoP;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Ethanol from forest residues;F. Cozzolini. Internal study for PSI.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol, from forest residues, at fuelling station;F. Cozzolini. Internal study for PSI.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol from maize starch;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol, from maize starch, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol from sugarbeet;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol, from sugarbeet, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
